Age,Gender,O,C,E,A,N,Hassle,Category,Severity
19,Female,35,24,23,31,29,Concerns about getting ahead,Inner Concerns,3
19,Female,35,24,23,31,29,Fear of confrontation,Inner Concerns,3
19,Female,35,24,23,31,29,Wasting time,Inner Concerns,3
19,Female,35,24,23,31,29,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Financial Concerns,3
19,Female,35,24,23,31,29,Not enough money for wants (entertainment and recreation),Financial Concerns,3
19,Female,35,24,23,31,29,Concerns about owing money,Financial Concerns,3
19,Female,35,24,23,31,29,Concerns about money for emergencies,Financial Concerns,3
19,Female,35,24,23,31,29,Financial security,Financial Concerns,3
19,Female,35,24,23,31,29,Not enough time to do things one needs to,Time Pressures,4
19,Female,35,24,23,31,29,Too many responsibilities,Time Pressures,4
19,Female,35,24,23,31,29,Not getting enough rest,Time Pressures,3
19,Female,35,24,23,31,29,Too many interruptions,Time Pressures,3
19,Female,35,24,23,31,29,Not enough time for entertainment and recreation,Time Pressures,3
19,Female,35,24,23,31,29,Too many meetings,Time Pressures,2
19,Female,35,24,23,31,29,Social obligations,Time Pressures,2
19,Female,35,24,23,31,29,Concerns about meeting high standards,Time Pressures,4
19,Female,35,24,23,31,29,Noise,Time Pressures,2
19,Female,35,24,23,31,29,Pollution,Environmental Hassles,3
19,Female,35,24,23,31,29,Crime,Environmental Hassles,3
19,Female,35,24,23,31,29,Traffic,Environmental Hassles,3
19,Female,35,24,23,31,29,Concerns about news events,Environmental Hassles,4
19,Female,35,24,23,31,29,Rising prices of common goods,Environmental Hassles,4
19,Female,35,24,23,31,29,Concerns about accidents,Environmental Hassles,3
19,Female,35,24,23,31,29,Yardwork or outside home maintenance,Family Hassles,1
19,Female,35,24,23,31,29,Overloaded with family responsibilities,Family Hassles,2
19,Female,35,24,23,31,29,Home maintenance (inside),Family Hassles,2
19,Female,35,24,23,31,29,Concerns about medical treatment,Health Hassles,3
19,Female,35,24,23,31,29,Physical illness,Health Hassles,3
19,Female,35,24,23,31,29,Side effects of medication,Health Hassles,1
19,Female,35,24,23,31,29,Concerns about health in general,Health Hassles,3
19,Female,35,24,23,31,29,Concerns about bodily functions,Health Hassles,3
19,Female,35,24,23,31,29,Dissatisfaction with academic performance,Academic Hassles,4
19,Female,35,24,23,31,29,Challenges with instructors,Academic Hassles,3
19,Female,35,24,23,31,29,Discontent with current academic responsibilities,Academic Hassles,3
19,Female,35,24,23,31,29,Concerns regarding academic transitions,Academic Hassles,3
19,Female,35,24,23,31,29,Difficulties with peers or classmates,Academic Hassles,2
19,Female,35,24,23,31,29,Challenges in managing group projects,Academic Hassles,2
19,Female,35,24,23,31,29,Getting late to class,Academic Hassles,1
22,Male,33,23,37,27,27,Misplacing or losing things,General Hassles,3
22,Male,33,23,37,27,27,Silly practical mistakes,General Hassles,4
22,Male,33,23,37,27,27,Trouble with pets,General Hassles,1
22,Male,33,23,37,27,27,Difficulties with friends,General Hassles,1
22,Male,33,23,37,27,27,Regrets over past decision/s,Inner Concerns,5
22,Male,33,23,37,27,27,Concerned about the meaning of life,Inner Concerns,1
22,Male,33,23,37,27,27,Being lonely,Inner Concerns,1
22,Male,33,23,37,27,27,Inability to express oneself,Inner Concerns,1
22,Male,33,23,37,27,27,Fear of rejection,Inner Concerns,1
22,Male,33,23,37,27,27,Trouble making decisions,Inner Concerns,3
22,Male,33,23,37,27,27,Physical appearance,Inner Concerns,2
22,Male,33,23,37,27,27,Not seeing people,Inner Concerns,3
22,Male,33,23,37,27,27,Troubling thoughts about one’s future,Inner Concerns,2
22,Male,33,23,37,27,27,Not enough personal energy,Inner Concerns,1
22,Male,33,23,37,27,27,Concerns about getting ahead,Inner Concerns,2
22,Male,33,23,37,27,27,Fear of confrontation,Inner Concerns,1
22,Male,33,23,37,27,27,Wasting time,Inner Concerns,5
22,Male,33,23,37,27,27,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Financial Concerns,2
22,Male,33,23,37,27,27,Not enough money for wants (entertainment and recreation),Financial Concerns,3
22,Male,33,23,37,27,27,Concerns about owing money,Financial Concerns,3
22,Male,33,23,37,27,27,Concerns about money for emergencies,Financial Concerns,3
22,Male,33,23,37,27,27,Financial security,Financial Concerns,2
22,Male,33,23,37,27,27,Not enough time to do things one needs to,Time Pressures,3
22,Male,33,23,37,27,27,Too many responsibilities,Time Pressures,3
22,Male,33,23,37,27,27,Not getting enough rest,Time Pressures,4
22,Male,33,23,37,27,27,Too many interruptions,Time Pressures,5
22,Male,33,23,37,27,27,Not enough time for entertainment and recreation,Time Pressures,2
22,Male,33,23,37,27,27,Too many meetings,Time Pressures,2
22,Male,33,23,37,27,27,Social obligations,Time Pressures,3
22,Male,33,23,37,27,27,Concerns about meeting high standards,Time Pressures,2
22,Male,33,23,37,27,27,Noise,Time Pressures,1
22,Male,33,23,37,27,27,Pollution,Environmental Hassles,2
22,Male,33,23,37,27,27,Crime,Environmental Hassles,2
22,Male,33,23,37,27,27,Traffic,Environmental Hassles,5
22,Male,33,23,37,27,27,Concerns about news events,Environmental Hassles,2
22,Male,33,23,37,27,27,Rising prices of common goods,Environmental Hassles,4
22,Male,33,23,37,27,27,Concerns about accidents,Environmental Hassles,3
22,Male,33,23,37,27,27,Yardwork or outside home maintenance,Family Hassles,4
