,Age,Gender,O,C,E,A,N,Hassle,Severity
338,20,Female,40,26,23,25,28,Not enough time for entertainment and recreation,2
339,20,Female,40,26,23,25,28,Too many meetings,2
340,20,Female,40,26,23,25,28,Social obligations,3
341,20,Female,40,26,23,25,28,Concerns about meeting high standards,5
342,20,Female,40,26,23,25,28,Noise,1
343,20,Female,40,26,23,25,28,Pollution,2
344,20,Female,40,26,23,25,28,Crime,2
345,20,Female,40,26,23,25,28,Traffic,3
346,20,Female,40,26,23,25,28,Concerns about news events,2
347,20,Female,40,26,23,25,28,Rising prices of common goods,3
348,20,Female,40,26,23,25,28,Concerns about accidents,3
349,20,Female,40,26,23,25,28,Yardwork or outside home maintenance,1
350,20,Female,40,26,23,25,28,Overloaded with family responsibilities,1
351,20,Female,40,26,23,25,28,Home maintenance (inside),1
352,20,Female,40,26,23,25,28,Concerns about medical treatment,1
353,20,Female,40,26,23,25,28,Physical illness,1
354,20,Female,40,26,23,25,28,Side effects of medication,2
355,20,Female,40,26,23,25,28,Concerns about health in general,2
356,20,Female,40,26,23,25,28,Concerns about bodily functions,2
357,20,Female,40,26,23,25,28,Dissatisfaction with academic performance,5
358,20,Female,40,26,23,25,28,Challenges with instructors,3
359,20,Female,40,26,23,25,28,Discontent with current academic responsibilities,5
360,20,Female,40,26,23,25,28,Concerns regarding academic transitions,4
361,20,Female,40,26,23,25,28,Difficulties with peers or classmates,3
362,20,Female,40,26,23,25,28,Challenges in managing group projects,3
363,20,Female,40,26,23,25,28,Getting late to class,1
364,21,Female,34,31,20,28,26,Misplacing or losing things,2
365,21,Female,34,31,20,28,26,Silly practical mistakes,3
366,21,Female,34,31,20,28,26,Trouble with pets,3
367,21,Female,34,31,20,28,26,Difficulties with friends,3
368,21,Female,34,31,20,28,26,Regrets over past decision/s,4
369,21,Female,34,31,20,28,26,Concerned about the meaning of life,2
370,21,Female,34,31,20,28,26,Being lonely,2
371,21,Female,34,31,20,28,26,Inability to express oneself,3
372,21,Female,34,31,20,28,26,Fear of rejection,3
373,21,Female,34,31,20,28,26,Trouble making decisions,3
374,21,Female,34,31,20,28,26,Physical appearance,3
375,21,Female,34,31,20,28,26,Not seeing people,2
376,21,Female,34,31,20,28,26,Troubling thoughts about one’s future,3
377,21,Female,34,31,20,28,26,Not enough personal energy,3
378,21,Female,34,31,20,28,26,Concerns about getting ahead,3
379,21,Female,34,31,20,28,26,Fear of confrontation,4
380,21,Female,34,31,20,28,26,Wasting time,3
381,21,Female,34,31,20,28,26,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",4
382,21,Female,34,31,20,28,26,Not enough money for wants (entertainment and recreation),2
383,21,Female,34,31,20,28,26,Concerns about owing money,3
384,21,Female,34,31,20,28,26,Concerns about money for emergencies,5
385,21,Female,34,31,20,28,26,Financial security,3
386,21,Female,34,31,20,28,26,Not enough time to do things one needs to,3
387,21,Female,34,31,20,28,26,Too many responsibilities,4
388,21,Female,34,31,20,28,26,Not getting enough rest,3
389,21,Female,34,31,20,28,26,Too many interruptions,3
390,21,Female,34,31,20,28,26,Not enough time for entertainment and recreation,2
391,21,Female,34,31,20,28,26,Too many meetings,3
392,21,Female,34,31,20,28,26,Social obligations,3
393,21,Female,34,31,20,28,26,Concerns about meeting high standards,4
394,21,Female,34,31,20,28,26,Noise,2
395,21,Female,34,31,20,28,26,Pollution,3
396,21,Female,34,31,20,28,26,Crime,4
397,21,Female,34,31,20,28,26,Traffic,3
398,21,Female,34,31,20,28,26,Concerns about news events,3
399,21,Female,34,31,20,28,26,Rising prices of common goods,3
400,21,Female,34,31,20,28,26,Concerns about accidents,4
401,21,Female,34,31,20,28,26,Yardwork or outside home maintenance,3
402,21,Female,34,31,20,28,26,Overloaded with family responsibilities,4
403,21,Female,34,31,20,28,26,Home maintenance (inside),3
404,21,Female,34,31,20,28,26,Concerns about medical treatment,4
405,21,Female,34,31,20,28,26,Physical illness,4
406,21,Female,34,31,20,28,26,Side effects of medication,4
407,21,Female,34,31,20,28,26,Concerns about health in general,4
408,21,Female,34,31,20,28,26,Concerns about bodily functions,4
409,21,Female,34,31,20,28,26,Dissatisfaction with academic performance,4
410,21,Female,34,31,20,28,26,Challenges with instructors,3
411,21,Female,34,31,20,28,26,Discontent with current academic responsibilities,4
412,21,Female,34,31,20,28,26,Concerns regarding academic transitions,3
413,21,Female,34,31,20,28,26,Difficulties with peers or classmates,4
414,21,Female,34,31,20,28,26,Challenges in managing group projects,3
415,21,Female,34,31,20,28,26,Getting late to class,3
416,18,Female,43,39,21,31,25,Misplacing or losing things,2
417,18,Female,43,39,21,31,25,Silly practical mistakes,2
418,18,Female,43,39,21,31,25,Trouble with pets,1
419,18,Female,43,39,21,31,25,Difficulties with friends,1
420,18,Female,43,39,21,31,25,Regrets over past decision/s,3
421,18,Female,43,39,21,31,25,Concerned about the meaning of life,5
422,18,Female,43,39,21,31,25,Being lonely,2
423,18,Female,43,39,21,31,25,Inability to express oneself,3
424,18,Female,43,39,21,31,25,Fear of rejection,4
425,18,Female,43,39,21,31,25,Trouble making decisions,3
426,18,Female,43,39,21,31,25,Physical appearance,3
427,18,Female,43,39,21,31,25,Not seeing people,2
428,18,Female,43,39,21,31,25,Troubling thoughts about one’s future,5
429,18,Female,43,39,21,31,25,Not enough personal energy,3
430,18,Female,43,39,21,31,25,Concerns about getting ahead,3
431,18,Female,43,39,21,31,25,Fear of confrontation,1
432,18,Female,43,39,21,31,25,Wasting time,5
433,18,Female,43,39,21,31,25,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",2
434,18,Female,43,39,21,31,25,Not enough money for wants (entertainment and recreation),2
435,18,Female,43,39,21,31,25,Concerns about owing money,1
436,18,Female,43,39,21,31,25,Concerns about money for emergencies,2
437,18,Female,43,39,21,31,25,Financial security,2
438,18,Female,43,39,21,31,25,Not enough time to do things one needs to,2
439,18,Female,43,39,21,31,25,Too many responsibilities,3
440,18,Female,43,39,21,31,25,Not getting enough rest,3
441,18,Female,43,39,21,31,25,Too many interruptions,2
442,18,Female,43,39,21,31,25,Not enough time for entertainment and recreation,2
443,18,Female,43,39,21,31,25,Too many meetings,2
444,18,Female,43,39,21,31,25,Social obligations,2
445,18,Female,43,39,21,31,25,Concerns about meeting high standards,4
446,18,Female,43,39,21,31,25,Noise,3
447,18,Female,43,39,21,31,25,Pollution,3
448,18,Female,43,39,21,31,25,Crime,1
449,18,Female,43,39,21,31,25,Traffic,5
450,18,Female,43,39,21,31,25,Concerns about news events,3
451,18,Female,43,39,21,31,25,Rising prices of common goods,4
452,18,Female,43,39,21,31,25,Concerns about accidents,3
453,18,Female,43,39,21,31,25,Yardwork or outside home maintenance,1
454,18,Female,43,39,21,31,25,Overloaded with family responsibilities,1
455,18,Female,43,39,21,31,25,Home maintenance (inside),2
456,18,Female,43,39,21,31,25,Concerns about medical treatment,1
457,18,Female,43,39,21,31,25,Physical illness,3
458,18,Female,43,39,21,31,25,Side effects of medication,3
459,18,Female,43,39,21,31,25,Concerns about health in general,4
460,18,Female,43,39,21,31,25,Concerns about bodily functions,3
461,18,Female,43,39,21,31,25,Dissatisfaction with academic performance,1
462,18,Female,43,39,21,31,25,Challenges with instructors,2
463,18,Female,43,39,21,31,25,Discontent with current academic responsibilities,1
464,18,Female,43,39,21,31,25,Concerns regarding academic transitions,3
465,18,Female,43,39,21,31,25,Difficulties with peers or classmates,1
466,18,Female,43,39,21,31,25,Challenges in managing group projects,1
467,18,Female,43,39,21,31,25,Getting late to class,3
468,21,Male,38,25,24,36,19,Misplacing or losing things,1
469,21,Male,38,25,24,36,19,Silly practical mistakes,1
470,21,Male,38,25,24,36,19,Trouble with pets,1
471,21,Male,38,25,24,36,19,Difficulties with friends,2
472,21,Male,38,25,24,36,19,Regrets over past decision/s,1
473,21,Male,38,25,24,36,19,Concerned about the meaning of life,1
474,21,Male,38,25,24,36,19,Being lonely,1
475,21,Male,38,25,24,36,19,Inability to express oneself,1
476,21,Male,38,25,24,36,19,Fear of rejection,1
477,21,Male,38,25,24,36,19,Trouble making decisions,1
478,21,Male,38,25,24,36,19,Physical appearance,2
479,21,Male,38,25,24,36,19,Not seeing people,1
