Age,Gender,O,C,E,A,N,Hassle,Severity
21,Male,38,29,22,27,27,Misplacing or losing things,2
21,Male,38,29,22,27,27,Silly practical mistakes,2
21,Male,38,29,22,27,27,Trouble with pets,1
21,Male,38,29,22,27,27,Difficulties with friends,2
21,Female,33,29,31,29,30,Misplacing or losing things,3
21,Female,33,29,31,29,30,Silly practical mistakes,3
21,Female,33,29,31,29,30,Trouble with pets,1
21,Female,33,29,31,29,30,Difficulties with friends,4
22,Female,32,42,25,37,18,Misplacing or losing things,5
22,Female,32,42,25,37,18,Silly practical mistakes,2
22,Female,32,42,25,37,18,Trouble with pets,1
22,Female,32,42,25,37,18,Difficulties with friends,4
21,Male,35,30,21,31,26,Misplacing or losing things,4
21,Male,35,30,21,31,26,Silly practical mistakes,2
21,Male,35,30,21,31,26,Trouble with pets,2
21,Male,35,30,21,31,26,Difficulties with friends,3
20,Genderfluid,39,31,28,28,27,Misplacing or losing things,5
20,Genderfluid,39,31,28,28,27,Silly practical mistakes,3
20,Genderfluid,39,31,28,28,27,Trouble with pets,3
20,Genderfluid,39,31,28,28,27,Difficulties with friends,2
19,Female,31,32,25,29,29,Misplacing or losing things,2
19,Female,31,32,25,29,29,Silly practical mistakes,2
19,Female,31,32,25,29,29,Trouble with pets,1
19,Female,31,32,25,29,29,Difficulties with friends,2
19,Female,37,32,31,31,31,Misplacing or losing things,5
19,Female,37,32,31,31,31,Silly practical mistakes,4
19,Female,37,32,31,31,31,Trouble with pets,3
19,Female,37,32,31,31,31,Difficulties with friends,4
19,Female,36,33,28,28,23,Misplacing or losing things,2
19,Female,36,33,28,28,23,Silly practical mistakes,2
19,Female,36,33,28,28,23,Trouble with pets,1
19,Female,36,33,28,28,23,Difficulties with friends,1
